S.Aci16581III	S.Aci16581III
AclI	AclI
S.Aco12261I	S.Aco12261I
Aco12261II	Aco12261II
S.AcoA42I	S.AcoA42I
M.AcoY31I	M.AcoY31I
M.AcoY31I	M.AcoA42II
M.AcoY31I	M.Hfe13101IV
M.AcoY31I	M.Hca12410III
M.AcoY31I	M.Hfe13102II
M.AcoY31I	M.Hty1III
M.Acr10283II	M.Acr10283II
M1.Acr10283V	M1.Acr10283V
M1.Acr10283V	M2.Cgl11432II
M1.Acr10283V	M2.NgoC311I
M1.Acr10283V	M2.Ppa13043I
M2.Acr10283V	M2.Acr10283V
M2.Acr10283V	M1.NgoC311I
M2.Acr10283V	M1.Ppa13043I
S.Ade3I	S.Ade3I
M.Ade3233I	M.Ade3233I
M.Ade56712I	M.Ade56712I
M.Adh6U21IA	M.Adh6U21IA
M.Adh6U21IB	M.Adh6U21IB
M.Aen12917II	M.Aen12917II
S.Aeq8529I	S.Aeq8529I
Afa22MI	Afa22MI
Afa22MI	XorKI
M.Afe12499I	M.Afe12499I
M.Afe12499I	M.MpaBPIII
M.Afe12499I	M.Bba35685I
M.Afe12499I	M.Bdi7II
M.Afe12499I	M.Bdi8545II
M.Afe12499I	M.Bel76I
M.Afe12499I	M.Bsp460I
M.Afe12499I	M.BspLA1II
M.Afe12499I	M.CcrMI
M.Afe12499I	M.CspB11I
M.Afe12499I	M.CspBP25I
M.Afe12499I	M.CspCB2I
M.Afe12499I	M.CspFWC2I
M.Afe12499I	M.CspX1I
M.Afe12499I	M.HbaI
M.Afe12499I	M.Mro51I
M.Afe12499I	M.MroGW6II
M.Afe12499I	M.Msp10I
M.Afe12499I	M.MspAL11I
M.Afe12499I	M.Msp73BI
M.Afe12499I	M.MspLW5II
M.Afe12499I	M.NhaXII
M.Afe12499I	M.NspC01III
M.Afe12499I	M.RpaIII
AflII	AflII
M.AflII	M.AflII
M.AflII	M.CcuG1II
AflIII	AflIII
M.AflIII	M.AflIII
M2.AflVIII	M2.AflVIII
S.Aga11188II	S.Aga11188II
S.Aga11188II	S.Aga11188I
S.Aga11188III	S.Aga11188III
M.Aga11188V	M.Aga11188V
M.Aga11188V	M.Aav11297I
S.Aga11188V	S.Aga11188V
AgeI	AgeI
M.AgeI	M.AgeI
S.AgeIII	S.AgeIII
M.Age02I	M.Age02I
M.Age02I	M.Age2261I
M.Age02I	M.CcoB035I
M.Age02I	M.MxaZ2I
M.Age02I	M.Mar10129I
M.Age02I	M2.Nme208III
M.Age02I	M2.Nfl8263III
M.Age02I	M2.Ngo8254IV
M.Age02I	M2.Nme6455III
M.Age2261II	M.Age2261II
S.Age2261II	S.Age2261II
S.Age2261III	S.Age2261III
M1.AgoG2I	M1.AgoG2I
M2.AgoG2I	M2.AgoG2I
M.AgoG2III	M.AgoG2III
M.AgsIA	M.AgsIA
M.AgsIB	M.AgsIB
M.Aha9697I	M.Aha9697I
S.Aha10306II	S.Aha10306II
S.Aha10306II	S.Aju10307IV
S.Aha10306II	S.Alw5866I
M.Aha10306IV	M.Aha10306IV
M.Aha10306IV	M.BspHIV
AhdI	AhdI
M.AhdI	M.AhdI
S.AhdII	S.AhdII
M.AhdIV	M.AhdIV
M.AhdIV	M.KpnBI
M.AhdIV	M.Aca75I
M.AhdIV	M.Aca12244II
M.AhdIV	M.AcaR256III
M.AhdIV	M.Aen12917I
M.AhdIV	M.Ahy103I
M.AhdIV	M.AhyYL17III
M.AhdIV	M.AspNIH1IV
M.AhdIV	M.AspNIH4VI
M.AhdIV	M.AveC4III
M.AhdIV	M.Cwe364II
M.AhdIV	M.Ecl73II
M.AhdIV	M.Ecl0136I
M.AhdIV	M.Kpn97I
M.AhdIV	M.Kpn9127I
M.AhdIV	M.Kpn9504I
M.AhdIV	M.Mmo235II
M.AhdIV	M.Sen218I
M.AhdIV	M.Sen8272I
M.AhdIV	M.SenJII
M.AhdIV	M.SmaUMH12I
M.AhdIV	M.Mca4103I
M.AhdIV	M.Mca213I
M.Ahe12129III	M.Ahe12129III
M.Ahe12129III	M.Tsp61I
M.Ahe12129III	M.Vha345IV
M.Ahe12129III	M.YinY228I
S.Ahi172I	S.Ahi172I
M.Ahi172II	M.Ahi172II
M.Ahi172II	M.Ral2013II
S.Ahi172II	S.Ahi172II
S.Aho11636I	S.Aho11636I
S.Aho11636I	S.Bbi13001II
S.AvaXI	S.AvaXI
M.Ava13935II	M.Ava13935II
M.Ava13935II	M.Ava13935I
M.AveC4I	M.AveC4I
S.AveC4I	S.AveC4I
S.AveC4II	S.AveC4II
S.AveC4II	S.AhyYL17IV
S.AveC4II	S.Van12159I
S.AveC4III	S.AveC4III
M.AveNIH1III	M.AveNIH1III
Avi249IA	Avi249IA
Avi249IB	Avi249IB
S.Avi7695I	S.Avi7695I
M.Avi7695II	M.Avi7695II
S.AviJS278I	S.AviJS278I
M.AviJS278II	M.AviJS278II
S.AviKJ1I	S.AviKJ1I
S.Awo1030II	S.Awo1030II
